node_1;node_2;distance;traveltime
105735;520;11332;10198
105735;551;15270;13743
105735;555;16142;14528
105735;59510;17143;15429
105735;60042;10168;9152
105735;62087;19961;17965
105735;62089;19453;17508
105735;62091;19192;17273
105735;62165;19219;17297
105735;62167;18735;16862
105735;62169;18171;16354
105735;62171;16380;14742
105735;62173;15934;14340
105735;62175;15536;13983
105735;62177;14760;13284
105735;62179;14076;12669
105735;62181;13957;12561
105735;62183;14516;13064
105735;62185;13844;12459
105735;62187;11867;10680
105735;62189;10809;9728
105735;62191;10263;9237
105735;62195;8708;7838
105735;62225;19431;17488
105735;62565;18390;16551
105735;62567;17151;15436
105735;62569;16272;14645
105735;62571;9183;8265
105735;62573;9871;8884
105735;63001;8192;7373
105735;63003;7789;7010
105735;63007;8604;7743
105735;63009;8131;7318
105735;63011;7699;6929
105735;63013;6368;5732
105735;63015;5456;4910
105735;63017;4094;3685
105735;63019;4364;3928
105735;63021;5496;4946
105735;63023;4827;4344
105735;63025;4773;4296
105735;63027;6476;5829
105735;63029;7252;6527
105735;63031;7246;6521
105735;63033;7819;7037
105735;63035;8223;7401
105735;63037;8540;7686
105735;63039;8722;7850
105735;63041;9054;8149
105735;63043;9255;8330
105735;63045;9625;8662
105735;63051;10434;9391
105735;63058;5556;5000
105735;63060;9404;8464
105735;63062;9995;8996
105735;63064;9955;8960
105735;63065;12315;11084
105735;63067;19548;17593
105735;63068;11941;10747
105735;63070;12049;10844
105735;63077;9171;8254
105735;63079;8502;7652
105735;63081;12605;11344
105735;63103;7002;6302
105735;63105;7913;7122
105735;63107;8651;7786
105735;63109;9932;8938
105735;63111;10061;9055
105735;63113;10657;9591
105735;63115;11620;10458
105735;63117;12204;10984
105735;63119;12831;11548
105735;63123;14214;12793
105735;63125;14580;13122
105735;63127;15257;13732
105735;63129;15811;14230
105735;63131;16126;14513
105735;63133;16645;14980
105735;63135;17632;15868
105735;63137;18417;16576
105735;63139;18786;16907
105735;63141;19327;17394
105735;63143;19902;17912
105735;63159;19588;17629
105735;63161;19225;17302
105735;63163;18717;16845
105735;63167;18272;16445
105735;63171;16093;14483
105735;63173;15609;14048
105735;63175;15273;13746
105735;63177;14490;13041
105735;63179;14257;12831
105735;63183;12696;11427
105735;63185;12720;11448
105735;63187;13588;12229
105735;63189;14095;12685
105735;63191;14453;13008
105735;63193;14757;13281
105735;63195;14319;12887
105735;63201;4934;4440
105735;63203;5479;4931
105735;63205;5808;5227
105735;63207;6188;5569
105735;63209;8116;7304
105735;63211;8549;7694
105735;63213;9536;8582
105735;63215;10005;9005
105735;63265;2942;2647
105735;63267;13713;12342
105735;63300;9589;8630
105735;63314;9896;8907
105735;63330;12774;11497
105735;63501;13811;12430
105735;63503;12865;11578
105735;63505;12161;10945
105735;63507;11810;10629
105735;63509;11148;10033
105735;63511;10866;9779
105735;63513;10609;9548
105735;63515;10372;9335
105735;63517;10476;9428
105735;63519;11009;9908
105735;63521;11381;10242
105735;63523;11831;10648
105735;63525;12224;11001
105735;63527;12615;11353
105735;63529;13564;12207
105735;63531;14420;12978
105735;63533;15295;13765
105735;63535;16378;14740
105735;63537;17307;15577
105735;63539;18069;16262
105735;63541;18747;16872
105735;63543;19931;17938
105735;63801;10350;9315
105735;63803;10335;9302
105735;63813;13633;12270
105735;63815;14135;12722
105735;63817;14579;13121
105735;63819;15111;13600
105735;63821;15597;14037
105735;63823;16754;15078
105735;63825;17330;15597
105735;63827;18883;16994
105735;63829;19483;17535
105735;64005;11949;10754
105735;64007;12760;11484
105735;64009;13180;11862
105735;64013;15368;13831
105735;64015;15780;14202
105735;64017;16324;14691
105735;64019;17174;15456
105735;64021;17752;15977
105735;64023;19135;17222
105735;64127;19735;17761
105735;64476;9721;8749
105735;64478;9002;8102
105735;64480;8382;7544
105735;64482;8227;7405
105735;64484;8488;7639
105735;64486;8615;7754
105735;64488;9276;8348
105735;64490;10346;9311
105735;64500;8400;7560
105735;64501;16286;14657
105735;64503;16790;15111
105735;64505;17566;15810
105735;64507;18683;16815
105735;64509;19531;17578
105735;64555;9635;8672
105735;64559;11715;10544
105735;64561;11556;10401
105735;64562;11138;10024
105735;64567;10431;9388
105735;64571;10202;9181
105735;64573;10177;9159
105735;64579;10736;9663
105735;64583;11110;9999
105735;64585;11050;9945
105735;64591;9457;8511
105735;64723;19262;17336
105735;64725;18712;16841
105735;64727;17981;16183
105735;64729;15130;13617
105735;64731;14159;12743
105735;64735;12155;10940
105735;64737;11207;10086
105735;64739;9716;8744
105735;64741;11710;10539
105735;64743;8942;8048
105735;64892;9420;8478
